PERIOD,YEAR,STATS_VALUE
August,1988,12.3
September,1988,13.9
October,1988,15
November,1988,16.9
December,1988,18.9
January,1989,20.2
February,1989,19.9
March,1989,19.4
April,1989,16.8
May,1989,14
June,1989,12.1
July,1989,10.1
August,1989,11.8
September,1989,14.2
October,1989,15.9
November,1989,17.3
December,1989,18.2
January,1990,20.1
February,1990,22.1
March,1990,20.3
April,1990,17.6
May,1990,14.7
June,1990,11.4
July,1990,11.9
August,1990,12.2
September,1990,12.2
October,1990,15.7
November,1990,17
December,1990,19
January,1991,19.8
February,1991,20.4
March,1991,18.3
April,1991,16
May,1991,13.4
June,1991,11.7
July,1991,10.4
August,1991,12.4
September,1991,13.8
October,1991,14.5
November,1991,15.2
December,1991,18
January,1992,19.8
February,1992,20.2
March,1992,17.3
April,1992,13.9
May,1992,12.6
June,1992,10.9
July,1992,11.6
August,1992,11.3
September,1992,12
October,1992,13.6
November,1992,16.9
December,1992,18.4
January,1993,19.5
February,1993,19
March,1993,17.9
April,1993,15.7
July,1994,10.5
August,1994,11
September,1994,12.2
October,1994,13.6
November,1994,15.7
December,1994,18.7
January,1995,19.7
February,1995,20.5
March,1995,19
April,1995,18.2
May,1995,14.4
June,1995,12
July,1995,10.9
August,1995,10.9
September,1995,12.8
October,1995,14.3
November,1995,15.6
December,1995,19
January,1996,20.6
February,1996,21.2
March,1996,17.8
April,1996,17.2
May,1996,13.3
June,1996,10.7
July,1996,11.1
August,1996,11.6
September,1996,13.9
October,1996,14.8
November,1996,15.9
December,1996,17.6
January,1997,18.6
February,1997,20.4
March,1997,18.7
April,1997,15.7
May,1997,14.8
June,1997,11
July,1997,10.1
August,1997,10.8
September,1997,12.4
October,1997,14.1
November,1997,16.2
December,1997,18.5
January,1998,20.1
February,1998,22.5
March,1998,20.1
April,1998,17.3
May,1998,14.8
June,1998,13.3
July,1998,13.4
August,1998,12.1
September,1998,13.7
October,1998,15.8
November,1998,16.9
December,1998,19
January,1999,22.1
February,1999,20.9
March,1999,20.4
April,1999,17
May,1999,14.7
June,1999,12.1
July,1999,11.3
August,1999,11.1
September,1999,13
October,1999,15.2
November,1999,17
December,1999,17.6
January,2000,19.4
February,2000,19.9
March,2000,18.7
April,2000,16.8
May,2000,14.9
June,2000,12.4
July,2000,13
August,2000,11.7
September,2000,13.1
October,2000,14.8
November,2000,15.1
December,2000,19.3
January,2001,19
February,2001,21.1
March,2001,18.9
April,2001,16.6
May,2001,15
June,2001,11.2
July,2001,10
August,2001,12
September,2001,13.4
October,2001,16.2
November,2001,16.6
December,2001,19.4
January,2002,19.5
February,2002,19.6
March,2002,19.3
April,2002,15.8
May,2002,14.6
June,2002,13.8
July,2002,11.2
August,2002,11.6
September,2002,13.3
October,2002,13.4
November,2002,15
December,2002,18.1
January,2003,19
February,2003,19.5
March,2003,19.1
April,2003,16.4
May,2003,14.5
June,2003,13.2
July,2003,10
August,2003,11.6
September,2003,13.6
October,2003,13.8
November,2003,15.9
December,2003,19
January,2004,20.6
February,2004,19.3
March,2004,17
April,2004,15.3
May,2004,14.4
June,2004,12.7
July,2004,10.4
August,2004,10.5
September,2004,12.3
October,2004,14.4
November,2004,16.2
December,2004,16
January,2005,19.3
February,2005,21.2
March,2005,19.8
April,2005,16.4
May,2005,15.2
June,2005,12
July,2005,12.2
August,2005,11.9
September,2005,13.9
October,2005,15
November,2005,16.3
December,2005,19.6
January,2006,20.3
February,2006,20.5
March,2006,18.7
April,2006,17.5
May,2006,14.2
June,2006,10.1
July,2006,10.4
August,2006,11.5
September,2006,13.8
October,2006,14.3
November,2006,16.3
December,2006,15.9
January,2007,19.5
February,2007,19.8
March,2007,19.7
April,2007,15.9
May,2007,15.1
June,2007,11.9
July,2007,11.5
August,2007,12.2
September,2007,13.3
October,2007,14.3
November,2007,15.7
December,2007,18.8
January,2008,21.2
February,2008,20.4
March,2008,19.6
April,2008,17
May,2008,12.7
June,2008,12.4
July,2008,11.3
August,2008,11.7
September,2008,13.1
October,2008,14.4
November,2008,16.4
December,2008,18.3
January,2009,19.7
February,2009,20.9
March,2009,18.1
April,2009,16.4
May,2009,12.2
June,2009,10
July,2009,10.4
August,2009,12.9
September,2009,13.4
October,2009,13.4
November,2009,16
December,2009,18.3
January,2010,19.9
February,2010,21.6
March,2010,19.1
April,2010,16.9
May,2010,14.3
June,2010,12.1
July,2010,10.6
August,2010,12.4
September,2010,13.6
October,2010,14.2
November,2010,16.8
December,2010,20.3
January,2011,20.6
February,2011,21.1
March,2011,18.8
April,2011,16.4
May,2011,15.4
June,2011,13.4
July,2011,11.5
August,2011,10.7
September,2011,12.3
October,2011,15.3
November,2011,16.2
December,2011,18.4
January,2012,19
February,2012,19.8
March,2012,17.8
April,2012,16.8
May,2012,13.4
June,2012,11.8
July,2012,11.2
August,2012,12.6
September,2012,13.2
October,2012,14.3
November,2012,15.6
December,2012,19.6
January,2013,20.3
February,2013,20.2
March,2013,19.8
April,2013,17.7
May,2013,14.1
June,2013,12.1
July,2013,11.4
August,2013,12.6
September,2013,13.6
October,2013,15.1
November,2013,17.6
December,2013,18.6
January,2014,19.1
February,2014,20.4
March,2014,18.4
April,2014,18
May,2014,14
June,2014,13.2
July,2014,10.9
August,2014,11.8
September,2014,13.6
October,2014,14.6
November,2014,15.5
December,2014,18.4
January,2015,21
February,2015,20.2
March,2015,20.1
April,2015,17
May,2015,13.8
June,2015,12.4
July,2015,10.7
August,2015,11.5
September,2015,12.8
October,2015,14.7
November,2015,16.2
December,2015,18.4
January,2016,20.9
February,2016,21.9
March,2016,20.1
April,2016,17.4
May,2016,16.3
June,2016,12.8
July,2016,11.7
August,2016,11.4
September,2016,13.8
October,2016,15.1
November,2016,16.5
December,2016,18
January,2017,19.3
February,2017,20.5
March,2017,19.7
April,2017,17.7
May,2017,13.8
June,2017,12.1
July,2017,11.2
August,2017,12.7
September,2017,13.8
October,2017,15.3
November,2017,17
December,2017,20.5
January,2018,22.5
February,2018,21.1
March,2018,19.9
April,2018,17.2
May,2018,14.8
June,2018,11.6
July,2018,11.3
August,2018,12.1
September,2018,13.1
October,2018,14.3
November,2018,16.4
December,2018,19.1
January,2019,21.1
February,2019,20.8
March,2019,20.1
April,2019,15.9
May,2019,15
June,2019,11.7
July,2019,12.1
August,2019,12.1
September,2019,13.3
October,2019,14.6
November,2019,17.4
December,2019,19.3
January,2020,19.9
February,2020,21.4
March,2020,19
April,2020,16.5
May,2020,14.1
June,2020,13.2
July,2020,11.7
August,2020,12.4
September,2020,13.3
October,2020,15.8
November,2020,17.6
December,2020,18.7
January,2021,20.4
February,2021,20.5
March,2021,19.4
April,2021,17.3
May,2021,14.4
June,2021,13.4
July,2021,11.6
August,2021,12.3
September,2021,13.3
October,2021,15.6
November,2021,18.2
December,2021,21
January,2022,21.6
February,2022,22.3
